key,القيمة
trans_item_sub_total,البند الفرعي المجموع:
trans_coupon_discount_amount,كوبون خصم المبلغ (-):
trans_overall_tax,عموما الضرائب
trans_shipping_cost,تكلفة الشحن (عن طريق
trans_shipping_tax,الشحن الضرائب
trans_total_balance_amount,إجمالي الرصيد المبلغ:
order_desc,اطلب من PS-Store:
err_email_not_send_to_shop,عذرا، البريد الالكتروني غير قادرة على إرسال صاحب المحل.
err_email_not_send_to_user,عذرا، البريد الالكتروني غير قادرة على إرسال العميل.
order_receive_subject,وقد وردت النظام الجديد
order_status_subject,تم تغيير حالة الطلب ل
country_name,اسم الدولة
country_add,اضافة البلد
country_search,بحث البلد
country_edit,تحرير البلد
country_info,معلومات عن البلد
success_country_add,تمت إضافة البلاد بنجاح
success_country_edit,تم تحديث البلاد بنجاح
success_country_delete,لقد تم حذف البلاد بنجاح
delete_country_label,حذف البلد؟
country_yes_all_message,عندما حذف هذا البلد، أنه سيتم حذف جميع المدن ذات الصلة والمناطق أيضا. لذا، هل لا تزال ترغب في حذفه؟
err_country_name,يرجى تقديم اسم البلد
err_country_len,يجب أن يكون طول اسم البلد أكبر من 4
err_country_exist,وجدت اسم البلد بالفعل في النظام
city_name,اسم المدينة
city_add,إضافة سيتي
select_country,تحديد اسم البلد
city_search,بحث المدينة
city_edit,تحرير مدينة
city_info,معلومات عن المدينة
success_city_add,تمت إضافة مدينة بنجاح
success_city_edit,تم تحديث المدينة بنجاح
success_city_delete,تم حذف المدينة بنجاح
delete_city_label,حذف سيتي؟
city_delete_confirm_message,هل أنت متأكد من حذف هذه المدينة؟
err_city_name,يرجى تقديم اسم المدينة
err_city_len,يجب أن يكون طول سيتي اسم أكبر من 4
err_city_exist,وجدت المدينة اسم بالفعل في النظام
f_item_country_required,يرجى تحديد اسم البلد
zone_name,اسم المنطقة
zone_search,بحث المنطقة
zone_add,إضافة منطقة
zone_edit,تحرير المنطقة
zone_info,معلومات المنطقة
select_city,اختر المدينة اسم (متعددة حدد)
success_zone_add,تمت إضافة منطقة بنجاح
success_zone_edit,تم تحديث المنطقة بنجاح
success_zone_delete,تم حذف المنطقة بنجاح
delete_zone_label,حذف المنطقة؟
zone_delete_confirm_message,هل أنت متأكد من حذف هذه المنطقة؟
err_zone_name,يرجى تقديم اسم المنطقة
err_zone_len,يجب أن يكون طول اسم المنطقة أكبر من 4
err_zone_exist,وجدت اسم المنطقة بالفعل في النظام
f_item_city_required,الرجاء اختر المدينة اسم
select_zone,تحديد المناطق
shipping_zone_add,إضافة شحن مع المنطقة
shipping_zone_edit,تحرير شحن المنطقة مع
shipping_zone_search,ماذا عن الشحن والمنطقة
shipping_zone_info,الشحن مع معلومات المنطقة
success_shipping_zone_add,تمت إضافة الشحن مع المنطقة بنجاح
success_shipping_zone_edit,تم تحديث الشحن مع المنطقة بنجاح
success_shipping_zone_delete,تم حذف الشحن مع المنطقة بنجاح
delete_shipping_zone_label,حذف شحن والمنطقة؟
shipping_zone_delete_confirm_message,هل أنت متأكد من حذف هذا مع منطقة الشحن؟
f_item_zone_required,يرجى تحديد اسم المنطقة
shipping_package_name,الشحن اسم حزمة
need_to_enable_zone_shipping,يرجى تمكين الشحن منطقة في إعداد الشحن.
dup_zone_name,وجدت اسم المنطقة بالفعل
you_selected,لقد قمت باختيار
per_order_based,في الترتيب على
cost,كلفة
per_item_based,لكل عنصر قائم
delivery_increment_of_zone,تسليم الاضافة من المنطقة
based_cost,التكلفة على أساس
take_prd_shipping_cost,خذ من تكلفة المنتج شحن
free_shipping,الشحن مجانا
zone_from_other_package,يتم تحديد المنطقة بالفعل من حزمة أخرى.
الصيغة: (تكلفة شحن المنتج) × (قيمة الزيادة) × (الكمية),الصيغة: (تكلفة شحن المنتج) × (قيمة الزيادة) × (الكمية)
increment_note,ملاحظة: تحتاج إلى مجموعة الافتراضية هي 1.
cat_module,التصنيفات
contact_module,الاتصال بنا رسالة
system_user_module,المستخدمين النظام
export_database_module,تصدير قاعدة البيانات
subcat_module,الفئات الفرعية
discount_module,خصومات
blog_module,المدونات
product_module,طعام
collection_module,مجموعات
noti_module,لا غير
version_module,الإصدار
comments_module,تعليقات
like_module,الإعجابات
favourites_module,المفضلة
transaction_module,المعاملات
popular_prd_module,معظم المنتجات الشعبية
purchase_prd_module,الأكثر شراء المنتجات
popular_cat_module,معظم الفئات الشعبية
purchase_cat_module,معظم شراء الفئات
rate_prd_module,الأكثر تقييما المنتجات
coupon_dis_module,خصومات كوبون
shipping_module,طريقة الشحن
app_module,حول التطبيقات
shop_module,معلومات عن متجر
register_user_module,المستخدمون المسجلون
api_key_module,المعهد مفاتيح
countries_module,بلدان
cities_module,مدن
zone_module,منطقة
shipping_zone_module,الشحن مع المناطق
language_module,اللغات
entry_group,دخول
user_feedback_group,تعليقات المستخدمين
user_mang_group,إدارة المستخدمين
reports_group,تقارير
miscellaneous_group,متنوع
setting_group,ضبط
second_ago,ثانيا
minute_ago,دقيقة
hour_ago,ساعة
day_ago,يوم
week_ago,أسبوع
month_ago,شهر
year_ago,عام
decade_ago,عقد
just_now_label,في هذة اللحظة
ago_label,منذ
btn_active,نشيط
lang_string,سلسلة اللغة
lang_name,اسم اللغة
lang_add,إضافة لغة
lang_info,اللغة المعلومات
lang_symbol,رمز
lang_search,لغة البحث
lang_edit,تحرير اللغة
success_lang_edit,تم تحديث اللغة بنجاح
success_lang_add,تم إضافة اللغة بنجاح
success_lang_delete,تم حذف اللغة بنجاح
err_lang_name,يرجى تقديم اسم اللغة
err_lang_len,يجب أن يكون طول اسم اللغة أكبر من 4
err_lang_exist,وجدت اسم اللغة بالفعل في النظام
delete_lang_label,حذف اللغة؟
lang_delete_confirm_message,هل تريد حذف جميع سلسلة بموجب ذلك جنبا إلى جنب اللغة؟
lang_yes_all_label,نعم جميعا
lang_no_only_label,فقط اللغة
lang_yes_all_message,نعم جميع - اللغة وحدات وحذف من النظام.
language_id,لغة
lang_string_key,مفتاح
lang_string_value,القيمة
lang_string_info,معلومات سلسلة اللغة
select_language,اللغة المختارة
btn_import,استيراد
csv_symbol_link,نموذج ملف CSV هنا
lang_str_search,بحث سلسلة اللغة
success_langstr_import,سلسلة اللغة بنجاح تحميل ملف CSV
lang_str_add,إضافة سلسلة اللغة
lang_str_edit,تحرير سلسلة اللغة
lang_deactive,إبطال
success_lang_str_edit,تم تحديث سلسلة اللغة بنجاح
success_lang_str_add,تمت إضافة سلسلة اللغة بنجاح
err_lang_str_name,يرجى تقديم لغة اسم سلسلة
err_lang_str_len,يجب أن يكون طول سلسلة لغة أكبر من 4
err_lang_str_exist,وجدت سلسلة اللغة بالفعل في النظام
lang_title,اللغة محذوفة؟
lang_warning,لا يمكنك حذف اللغة النشطة.
btn_ok,حسنا
list_lang_label,اللغات
list_lang_str_label,لغة سلاسل
err_lang_symbol,يرجى تقديم رمز اللغة
pls_att_name,يرجى اسم السمة التفاصيل
remove_label,إزالة
btn_no,لا
pls_city_name,إرضاء مدينة اسم
pls_collect_name,إرضاء اسم مجموعة
pls_dis_percent,الرجاء الخصم في المئة
pls_prd_name,يرجى اسم المنتج
pls_highlight_info,يرجى تسليط الضوء على معلومات
pls_code,الرجاء إدخال الرمز
pls_unit_price,يرجى سعر الوحدة
pls_shipping_cost,يرجى كلف الشحن
pls_minimum_order,يرجى الحد الأدنى للطلب
pls_prd_measurement,يرجى قياس المنتج
pls_prd_unit,يرجى حدة المنتج
pls_search_tag,يرجى بحث دلالية
pls_prd_desc,يرجى وصف المنتج
pls_shipping_name,الرجاء شحن اسم حزمة
per_order_post,في النظام التكلفة
pls_sub_cat,يرجى اسم الفئة الفرعية
pls_zone_name,إرضاء اسم المنطقة
success_reset_email_sent,يتم إرسال البريد الإلكتروني بنجاح إعادة تعيين
err_touch_count,عدد مشكلة في اللمس!
coupon_not_found,رمز القسيمة غير صالح.
require_user_id,مطلوب هوية المستخدم
require_platform,منصة المطلوبة
file_na,غير متوفر
token_already_exist,عذرا، جهاز التوثيق بالفعل موجودة.
err_noti_register,عذرا، هناك مشكلة للتسجيل اضغط الإعلام.
success_noti_register,الجهاز بنجاح تسجيل للإعلام دفع.
success_noti_unregister,الجهاز غير مسجلة بنجاح لإعلام دفع.
err_noti_unregister,عذرا، هناك مشكلة لإلغاء التسجيل دفع الإخطار.
err_in_noti_read,عذرا، إعلام غير قادر على القراءة.
success_touch_count,تم إدخال عدد اللمس بنجاح.
backend_setting_module,إعداد الخلفية
backend_config_info_lable,الخلفية معلومات إعداد
sender_name_label,اسم المرسل
receive_email_label,استلام بريد الكتروني
sender_email_label,البريد الإلكتروني المرسل
img_section,القسم صورة
fcm_api_key_label,مفتاح API FCM
backend_login_img,الخلفية الدخول صورة الخلفية
backend_logo,الخلفية شعار
backend_fav_icon,الخلفية الصوت العربي الحر منظمة البن الدولية
upload_backend_logo,تحميل الخلفية شعار
upload_fav_icon,تحميل الصوت العربي الحر أيقونة
upload_login_img,إضافة أغاني دخول صور
pwd_reset_label,إعادة تعيين كلمة المرور
pwd_reset_link,الرجاء الضغط على الرابط التالي لإعادة تعيين كلمة المرور الخاصة بك
reset_link_label,إعادة تعيين كلمة المرور
best_regards_label,تحياتي الحارة
hi_admin_label,مرحبا الادارية
name_label,اسم
email_label,البريد الإلكتروني
phone_label,هاتف
msg_label,رسالة
bank_acc_label,حساب البنك :
bank_name_label,اسم البنك :
bank_code_label,رمز بنكي :
branch_code_label,رمز الفرع
swift_code_label,رمز السرعة
pay_met_cod,طريقة الدفع: نقدا عند التسليم
pay_met_paypal,طريقة الدفع: باي بال
pay_met_stripe,طريقة الدفع: الشريط
pay_met_bank,طريقة الدفع: التحويل المصرفي و<BR>
price_label,السعر :
unit_label,وحدة
shipping_cost_label,تكلفة الشحن
qty_label,الكمية
hi_label,مرحبا
order_receive_info,تلقي طلب جديد مع التالية من المعلومات.
trans_code,عبر. الشفرة
trans_status_label,عبر. الحالة
billing_cus_name,الفواتير اسم العميل
billing_add1,عنوان الفوترة 1
billing_add2,عنوان الفواتير 2
billing_phone,فوتير الهاتف
billing_email,البريد الالكتروني لقوائم الدفع
billing_shipping_name,الفواتير اسم شحن
shipping_add1,عنوان الشحن 1
shipping_add2,عنوان الشحن 2
shipping_phone,الشحن الهاتف
shipping_email,الشحن البريد الإلكتروني
memo_label,مذكرة
zone_shipping,منطقة الشحن
prd_detail_info,تفاصيل المنتج المعلومات في أدناه
sub_total,المجموع الفرعي
coupon_dis_amount,كوبون خصم المبلغ (-)
overall_tax,عموما الضرائب (+)
shipping_cost,تكلفة الشحن (+)
shipping_tax,الشحن الضرائب (+)
total_bal_amt,إجمالي الرصيد المبلغ
no_country_available,عذرا، الدول الشحن غير متوفرة.
user_register_success_but_email_not_send,تسجيل المستخدم النجاح ولكن لا ترسل البريد الإلكتروني.
new_user_register,جديد التسجيل في حساب المستخدم
verify_code_sent,تم إرسال رمز التحقق
write_reply_label,اكتب رد ...
success_backend_edit,تم تحديث إعداد الخلفية بنجاح
topics_label,المواضيع
smtp_section,تكوين SMTP
smtp_host_label,المضيف SMTP
smtp_host_placeholder,على سبيل المثال: SSL: //smtp.hostmail.com
smtp_port_label,رقم منفذ SMTP
smtp_enable,SMTP تمكين؟
smtp_user_label,SMTP العضو
smtp_pass_label,SMTP كلمة المرور
lang_active,نشيط
dashboard_label,لوحة القيادة
cannot_deactive,عذرًا ، لا يمكن إلغاء التنشيط.
err_symbol_exist,مز اللغة موجود بالفعل في النظام
new_user_acc,تم إنشاء حساب المستخدم الجديد الخاص بك. مرحبا بك في Flutter Restaurant..يرجى التحقق من الرمز الموجود أدناه لتنشيط حسابك.
verify_code_label,كود التحقق
restaurant_branch_module,فروع المطعم
shop_rates_module,المطعم الأكثر تقييما
reservation_module,التحفظات
trans_status_module,حالة عملية
deli_status_module,حالة التوصيل
payment_status_module,حالة السداد
deliboys_module,إدارة توصيل الصبي
add_on_module,اضافه
shipping_areas_module,منطقة الشحن
app_configs_module,إعداد التطبيق
food_add_img,أضف على الصورة
food_add_name,أضف على الاسم
food_add_description,وصف
food_add_price,السعر
food_additional_info,إضافة معلومات
err_food_add_name,يرجى تقديم إضافة على الاسم.
err_food_add_len,يجب أن يكون طول اسم الإضافة أكبر من 4
err_food_add_exist,إضافة على الاسم موجود بالفعل
food_additional_add,أضف إضافة
additional_search,بحث إضافة
additional_edit,تحرير إضافة على
success_additional_edit,تم تحديث الإضافة بنجاح.
success_additional_add,تمت إضافة الإضافة بنجاح.
success_additional_delete,تم حذف الإضافة بنجاح.
branch_name,اسم
branch_description_label,وصف
branch_address_label,عنوان
branch_phone_label,هاتف
branch_info,معلومات فرع المطعم
branch_img,صور فرع المطعم
err_branch_name,من فضلك اسم فرع المطعم
err_branch_len,يجب أن يكون طول اسم فرع المطعم أكبر من 4
err_branch_exist,فرع المطعم موجود بالفعل
err_branch_description,يُرجى تقديم وصف للمطعم
err_branch_address,يرجى تقديم عنوان فرع المطعم
err_branch_phone,يرجى تقديم هاتف فرع المطعم.
branch_add,إضافة فرع مطعم
branch_search,البحث عن فرع المطعم
success_branch_edit,تم تحديث فرع المطعم بنجاح.
success_branch_add,تم بنجاح فرع المطعم
success_branch_delete,تم حذف فرع المطعم.
deli_status_title,عنوان
deli_status_add,إضافة حالة التسليم
err_deli_status_name,يرجى تقديم عنوان حالة التسليم
err_deli_status_len,يجب أن يكون طول عنوان حالة التسليم أكبر من 4
err_deli_status_exist,حالة التسليم موجودة بالفعل
deli_status_search,حالة تسليم البحث
deli_status_edit,تعديل حالة التسليم
success_deli_status_edit,تم تعديل حالة التسليم بنجاح.
success_deli_status_add,تمت إضافة حالة التسليم بنجاح.
success_deli_status_delete,تم حذف حالة التسليم بنجاح.
deli_status_yes_all_message,هل أنت متأكد من حذف حالة التسليم هذه؟
delete_deli_status_label,هل تريد حذف حالة التسليم؟
pay_status_info,معلومات حالة الدفع
err_pay_status_name,يرجى تقديم عنوان حالة الدفع
err_pay_status_len,يجب أن يكون طول حالة الدفع أكبر من 4
err_pay_status_exist,حالة الدفع موجودة بالفعل.
pay_status_add,أضف حالة الدفع
pay_status_search,ابحث عن حالة الدفع
pay_status_edit,تحرير حالة الدفع
success_pay_status_edit,تم تعديل حالة الدفع بنجاح
success_pay_status_add,تمت إضافة حالة الدفع بنجاح
success_pay_status_delete,تم حذف حالة الدفع بنجاح.
delete_pay_status_label,حذف حالة الدفع؟
pay_status_yes_all_message,هل أنت متأكد من حذف حالة الدفع هذه؟
trans_status_info,معلومات حالة المعاملة
err_trans_status_name,يرجى تقديم عنوان حالة المعاملة
err_trans_status_len,يجب أن يكون طول حالة المعاملة أكبر من 4
err_trans_status_exist,حالة المعاملة موجودة بالفعل
trans_status_search,حالة معاملة البحث
trans_status_add,إضافة حالة المعاملة
delete_trans_status_label,حذف حالة المعاملة؟
trans_status_edit,تحرير حالة المعاملة
success_trans_status_edit,تم تعديل حالة المعاملة بنجاح.
success_trans_status_add,تمت إضافة المعاملة بنجاح.
success_trans_status_delete,تم حذف حالة المعاملة بنجاح.
trans_status,حالة المعاملات:
trans_status_yes_all_message,هل أنت متأكد من حذف حالة المعاملة هذه؟
shp_area_price,السعر
err_shp_area_name,الرجاء اسم منطقة الشحن
shp_area_info,معلومات منطقة الشحن
shp_area_add,إضافة منطقة شحن
err_shp_area_exist,منطقة الشحن موجودة بالفعل
success_shp_area_edit,تم تحرير منطقة الشحن.
shp_area_edit,تعديل منطقة الشحن
success_shp_area_add,تمت إضافة منطقة الشحن بنجاح.
success_shp_area_delete,تم حذف منطقة الشحن.
shp_area_name,اسم المنطقة
shp_area_search,البحث عن منطقة الشحن
err_shp_area_len,يجب أن يكون طول منطقة الشحن أكبر من 4
delete_shp_area_label,هل تريد حذف منطقة الشحن؟
shp_area_delete_confirm_message,هل أنت متأكد من حذف منطقة الشحن هذه؟
app_config_info,معلومات إعداد التطبيق
success_app_config_edit,تم تحديث إعداد التطبيق بنجاح.
app_configs_module,إعداد التطبيق
module_group_lang,مجموعة الوحدات
group_name,اسم مجموعة الوحدة النمطية
group_icon,رمز مجموعة الوحدة النمطية
group_lang_key,مفتاح اللغة
group_info,معلومات مجموعة الوحدة النمطية
group_search,مجموعة وحدة البحث
group_add,إضافة مجموعة الوحدة النمطية
success_group_edit,تم تعديل مجموعة الوحدة بنجاح
success_group_add,تمت إضافة مجموعة الوحدة النمطية بنجاح
group_edit,تحرير مجموعة الوحدة النمطية
success_group_delete,تم حذف مجموعة الوحدة النمطية بنجاح
err_group_name,يرجى تقديم مجموعة الوحدة النمطية
err_group_len,يجب أن يكون طول اسم مجموعة الوحدة النمطية أكبر من 4
err_group_exist,اسم مجموعة الوحدة النمطية موجود بالفعل
module_lang,وحدة
module_desc,وصف
module_ordering,الطلب
module_add,أضف الوحدة
module_info,معلومات الوحدة
module_name,اسم وحدة
is_show_on_menu,هل تظهر في القائمة؟
module_lang_key,مفتاح لغة الوحدة
module_select_group,حدد مجموعة الوحدة النمطية
delete_module_label,حذف الوحدة؟
module_delete_confirm_message,هل أنت متأكد من حذف هذه الوحدة؟
delete_group_label,حذف مجموعة الوحدة النمطية؟
group_delete_confirm_message,هل أنت متأكد من حذف مجموعة الوحدة هذه؟
err_module_name,يرجى تقديم اسم الوحدة
err_module_len,يجب أن يكون طول اسم الوحدة أكبر من 4
err_module_exist,اسم الوحدة موجود بالفعل
module_search,اسم وحدة البحث
success_module_edit,تم تحديث الوحدة بنجاح.
success_module_add,تمت إضافة الوحدة بنجاح.
module_edit,تحرير الوحدة
success_module_delete,تم حذف الوحدة بنجاح.
prd_ordering,الطلب
prd_ingredient,المكونات
prd_nutrient,العناصر الغذائية
delete_system_user_label,حذف مستخدم النظام؟
system_user_delete_confirm_message,هل أنت متأكد من حذف مستخدم النظام هذا؟
color_code,لون حالة المعاملة
deli_status_ordering,الطلب
final_stage,المرحلة الأخيرة
final_stage_delete,المرحلة النهائية غير قادرة على الحذف.
start_stage_delete,مرحلة البدء غير قادرة على الحذف.
fcm_api_key_deli_boy_label,تسليم الصبي fcm مفتاح واجهة برمجة التطبيقات
policy_info,معلومات سياسة الخصوصية
content_label,المحتوى
privacy_policy_module,سياسة الخصوصية
success_policy_edit,تم تحديث سياسة الخصوصية بنجاح
success_policy_add,تمت إضافة سياسة الخصوصية بنجاح
not_yet_activate,حسابك لم يتم تفعيله بعد.
user_status,حالة المستخدم
order_submit,الطلب المقدم
deliveried,تم التوصيل
delete_deliboy_label,حذف صبي التسليم؟
deliboy_delete_confirm_message,هل أنت متأكد من حذف هذه تسليم بوي؟
success_deliboy_delete,لقد تم حذف تسليم الصبي بنجاح
price_level,مستوى السعر
highlighted_info,معلومات المبرز
restaurant_version,Flutter Restaurant الإصدار
deliboy_version,تسليم النسخة الصبي
err_user_phone_exist,هاتف المستخدم موجود بالفعل.
razor_enabled_label,تمكين الشفرة؟
razor_label,[الخيار 6]: الدفع مع الشفرة
razor_key_label,الحلاقة مفتاح
banktransfer_label,[الخيار 3]: الدفع باستخدام التحويل المصرفي
err_user_phone_exist,هاتف المستخدم موجود بالفعل.
about_me,عني
trans_prd_checkout,"عذرًا ، أحد المنتجات التي اخترتها غير متوفر في نظامنا".
img_configuration,تكوين الصورة
land_width_label,عرض أفقي
potrait_height_label,ارتفاع الصورة
square_label,ارتفاع مربع
user_banned,عذرا، تم حظر الحساب الخاص بك.
err_user_not_existed,لا موجودة حسابك في النظام.
err_lat_lng,يجب ألا يكون خط العرض وخط الطول 0.0.
record_not_found,000 ## عذرا ، لم يتم العثور على السجل.
no_record_pagination,10002 ## آسف ، لا يوجد المزيد من السجلات في النظام.
email_verification_enabled, رسالة التحقق ممكن؟
minimum_order_amount, الحد الأدنى للطلب
approve_message_1,تهنئة! تسليم وافق بوي (
approve_message_2,)
reject_message_1,آسف! تسليم رفضت بوي (
reject_message_2,)
banusers_module,قائمة المستخدمين الحظر
btn_view,رأي
btn_back,عودة
user_auto_approved, "تم إنشاء حساب المستخدم الجديد. مرحبا بكم في مطعم الرفرفة."
reservation_lang_module,التحفظات
restaurant_branches_module,فروع المطعم
resv_info,معلومات الاحتياطي
resv_date_label,تاريخ الحجز (اليوم / الشهر / السنة)
resv_time_label,وقت الحجز (HH: MM) تنسيق 24 ساعة
reserved_by,محفوظة بواسطة
resv_note,مذكرة إضافية
resv_status,حالة الحجز
trans_delivery_pickup_date,تاريخ الاستلام: 
trans_delivery_pickup_time,وقت التسليم:
pickup_message,رسالة لاقط
pickup_label,[الخيار 6]: الدفع مع الاستلام
pickup_enabled,هل تم تمكين الاستلام؟
cus_pick_up_order,سوف يستلم العميل هذا الطلب.
success_logout,كان المستخدم بنجاح الخروج.
paystack_setting,إعداد Paystack
paystack_label,[الخيار 6]: الدفع مع Paystack
paystack_key_label,Paystack مفتاح
paystack_enabled_label,وPaystack ممكن؟
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
paystack_setting,إعداد Paystack
paystack_label,[الخيار 7]: الدفع مع Paystack
paystack_key_label,Paystack مفتاح
paystack_enabled_label,وPaystack ممكن؟
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
err_lat,يرجى تقديم خط العرض
err_lng,يرجى تقديم خط الطول
err_lat_lng,لا يجب أن يكون خط العرض والطول 0.0
lat_invlaid,خط العرض يجب أن تكون بين -90 و 90 درجة ضمنا.
lng_invlaid,يجب أن يكون خط الطول بين -180 و 180 درجة شامل.
maximum_order,أقصى ترتيب
pls_maximum_order,إرضاء الحد الأقصى ترتيب
deeplink_section,قسم الربط العميق
dyn_link_key_label,مفتاح الارتباط الديناميكي
dyn_link_url_label,رابط ديناميكي URL
dyn_link_package_name_label,اسم حزمة الارتباط الديناميكي
dyn_link_domain_label,مجال الربط الديناميكي
dyn_link_deep_url_label,رابط عميق للرابط
prd_dynamic_link_label,رابط ديناميكي للمنتج
btn_duplicate,مكرر
success_prd_duplicate_add,تمت إضافة عنصر مكرر بنجاح ،
dyn_link_package_name_ios, دينامية ربط IOS اسم الحزمة
dyn_link_ios_appstore_id,ارتباط ديناميكي IOS أبستور رقم
prd_image,صورة المنتج