key,valor,
site_name,Flutter Restaurant,
setting_label,Ajuste,
lbl_search_shop,buscar tienda,
status_label,transacciones Estado,
trans_detail,Detalle de transacciones,
shops_unpublish_list_label,Lista inédito Shop,
btn_create_new_shop,Crear nueva tienda,
btn_shop_list,Lista Despublicar Shop,
btn_push_notification,Notificación de inserción,
btn_system_user,usuario del sistema,
btn_export_database,Base de datos de exportación,
btn_about_app,Acerca de Aplicación,
address_label,Habla a,
lbl_about_shop,sobre la tienda,
lbl_categories,categorías,
user_email,Email,
user_password,Contraseña,
sign_in,Registrarse,
Total de mensajes de contacto,Total de usuarias,
total_cat_count_label,Categorías totales,
total_wallpaper_count_label,Fondos de pantalla totales,
total_contact_label,Totoal Contacto Mensajes,
btn_search,Buscar,
back_shop_list,Volver Lista Shop,
err_image_missing,subido ningún archivo,
about_info,Acerca de Información,
allowed_modules,Módulo permitido,
shop_name,Nombre de tienda,
add_more_color,Añadir más color,
color_code,color del Comida,
product_title,Título,
product_desc,Descripción,
add_more_spec,Añadir más Especificación,
prd_specification,Especificaciones del Comida,
product_name_count,Conde Nombre del Comida,
select_multiple_images,"Por favor, seleccione múltiples imágenes de los Comidas.",
noti_add,Añadir Notis,
prd_unit,Unidad Comida,
prd_measurement,La medición del Comida,
noti_search,Buscar Noti,
error_login,Sus credenciales de inicio de sesión son incorrectas. Inténtalo de nuevo.,
profile_img,Imagen de perfil,
cat_add,añadir categorías,
wrn_no_data,No hay datos aún,
cat_name,nombre de la categoría,
cat_img,Categoría de fotos,
cat_info,Información de la Categoría,
cat_ordering,Ordenando,
cat_edit,Editar categoria,
success_cat_add,Categoría se ha añadido con éxito,
success_cat_edit,Categoría se ha actualizado correctamente,
success_upload,La imagen se ha actualizado correctamente,
delete_cat_label,Eliminar categoría?,
cat_yes_all_message,"Cuando eliminar esta categoría, se eliminarán todas las subcategorías relacionadas y Comidas también. Así que, ¿todavía desea eliminarlo?",
success_cat_delete,Categoría se ha eliminado correctamente,
cat_search,la búsqueda Categoría,
cat_icon,Icono Categoría,
btn_replace_icon,reemplazar Icono,
upload_icon,Subir Icono,
about_upload_icon,Subir Icono,
fav_upload_icon,Fav Icon,
sidebar_upload_icon,Logotipo de la barra lateral,
btn_upload,Subir,
err_cat_name,Por favor proporcione nombre de la categoría,
err_cat_len,La longitud del nombre de categoría debe ser mayor que 4,
err_cat_exist,Nombre de categoría ya está existía en el sistema,
subcat_info,Información Categoría Sub,
subcat_name,Subcategoría Nombre,
subcat_ordering,Orden de la categoría sub,
subcat_img,Categoría Sub fotos,
subcat_icon,Sub Icono,
subcat_search,Buscar categoría Sub,
subcat_add,Añadir categoría Sub,
subcat_edit,Editar categoría Sub,
success_subcat_edit,Sub se ha actualizado correctamente,
success_subcat_add,Sub se ha añadido con éxito,
success_subcat_delete,Sub se ha eliminado correctamente,
err_subcat_name,"Por favor, indique el nombre sub-categoría",
err_subcat_len,La longitud del Subcategoría Nombre debe ser mayor que 4,
err_subcat_exist,Subcategoría Nombre ya existía en el sistema,
delete_subcat_label,Eliminar categoría Sub?,
subcat_delete_confirm_message,¿Estás segura de eliminar esta subcategoría?,
subcat_yes_all_message,"Cuando eliminar esta categoría sub, borrará todos los Comidas relacionados también. Así que, ¿todavía desea eliminarlo?",
subcat_no_only_message,<B> Sólo Sub </ b> - Sólo serán Sub eliminar de sistema.,
subcat_yes_all_label,Si todo,
subcat_no_only_label,Sólo Sub Categoría,
select_subcat,Seleccionar categoría Sub,
select_cat,selecciona una categoría,
subcat_panel_title,Lista de categoría sub,
Prd_search_cat,Elija un nombre de categoría,
btn_reset,Reiniciar,
btn_yes,si,
upload_photo,Subir foto,
upload_button,Subir,
replace_photo_button,Vuelva a colocar la foto de portada,
photo_desc_label,descripción de la foto,
del_cover_photo,Eliminar la foto de portada,
del_cover_photo_confirm,¿Está seguro de que quiere borrar la foto?,
del_icon_label,Icono de borrar,
del_icon_confirm,¿Está seguro de que quiere borrar el icono?,
status,Status (Is Publicar?),
dis_name,Nombre de descuento,
dis_add,add Descuentos,
dis_percent,Porcentaje de descuento (%),
choose_prd_label,Elija los Comidas,
dis_info,Información acerca del descuento,
dis_photo,Foto de descuento,
prd_name,nombre del Comida,
prd_code,Código,
product_price,Precio ($),
dis_add,add Descuentos,
success_dis_add,Descuentos se ha añadido con éxito,
success_dis_edit,Descuentos se ha actualizado con éxito,
delete_dis_label,Descuentos eliminar?,
dis_delete_confirm_message,¿Está seguro que desea borrar esta Descuentos?,
dis_edit,Editar Descuentos,
err_dis_name,"Por favor, indique el nombre del descuento",
err_dis_percent,Sírvanse proporcionar Porcentaje de descuento,
err_dis_len,La longitud del nombre del descuento debe ser mayor que 4,
err_dis_exist,Nombre de descuento ya está existía en el sistema,
success_dis_delete,Descuentos se ha eliminado correctamente,
discount_photo,Foto de descuento,
dis_search,Buscar Descuento,
feed_add,Añadir nuevo contenido,
feed_info,Informaciones nuevos feeds,
feed_name,nombre de la alimentación,
feed_desc,Descripción RSS,
feed_edit,Editar feeds,
success_feed_add,Nuevos feeds se ha añadido con éxito,
success_feed_edit,Nuevos feeds se ha actualizado con éxito,
err_dup_name,El nombre ya se existía en el sistema,
err_feed_exist,Nombre alimentación ya está existía en el sistema,
delete_feed_label,Eliminar Nueva RSS?,
feed_delete_confirm_message,¿Está seguro que desea borrar este nuevo contenido?,
success_feed_delete,Nuevos feeds se ha eliminado correctamente,
f_item_cat_required,"Por favor, seleccione Nombre de categoría",
err_feed_len,La longitud de RSS Nombre debe ser mayor que 4,
err_feed_name,"Por favor, indique el nombre RSS",
feed_search,RSS Buscar,
feed_gallery,Galería RSS,
list_product_nav,Comida,
prd_add,Añadir Comida,
att_add,Añadir nuevo Personalizada,
add_att_detail,Añadir nueva detallada Personalizada,
list_attribute_header,Personalizada Lista de cabeceras,
wrn_no_data,No hay datos aún,
product_name,nombre del Comida,
att_name,Nombre del Personalizada,
Prd_search_subcat,Seleccione Subcategoría Nombre,
Prd_search_dis,Seleccionar el tipo de descuento,
product_gallery,Galería de Comidas,
prd_info,Información del Comida,
rec_prd_info,Recientemente agregado Comidas,
att_info,información de Personalizadas,
prd_desc,Descripción del Comida,
prd_high_info,Información culminante del Comida,
prd_edit,Editar Comida,
prd_code,Código de Comida,
success_prd_add,Comida ha sido agregado con éxito,
success_prd_edit,El Comida ha sido actualizado correctamente,
success_upload,La imagen se ha actualizado correctamente,
delete_prd_label,Eliminar Comida?,
prd_yes_all_message,"Cuando eliminar este Comida, eliminará todas las categorías sub relacionados y categoría también. Así que, ¿todavía desea eliminarlo?",
success_prd_delete,Comida se ha eliminado correctamente,
prd_search,búsqueda de Comidas,
btn_save_prd_att,Personalizada Guardar & Go Para Comida,
btn_att_list,Lista de Personalizadas,
btn_save_gallery,Guardar y Ir a la galería,
unit_price,Precio unitario,
search_tag,Búsqueda de etiquetas / palabra clave,
f_item_subcat_required,Por favor seleccione Subcategoría Nombre,
f_item_discount_required,"Por favor, seleccione Nombre de categoría",
err_Prd_name,"Por favor, indique el nombre del Comida",
err_Prd_len,La longitud del nombre del Comida debe ser superior a 4,
err_Prd_exist,Nombre del Comida ya está existía en el sistema,
is_discount,Descuento es?,
is_featured,Se ofrece?,
is_available,¿Está disponible?,
order_by,Por fin,
select_order,Seleccione el orden,
from_price,desde Precio,
to_price,Poner precio,
shipping_cost,Costo de envío,
minimum_order,Pedido mínimo,
original_price,Precio original,
err_access,"Lo sentimos, usted no tiene acceso a tomar esta acción",
err_model,Se ha producido error de base de datos,
err_sys,Se ha producido un error del sistema,
btn_edit,Editar,
btn_update,Actualizar,
btn_delete,Eliminar,
btn_publish,Publicar,
no,No,
btn_save,Salvar,
btn_cancel,Cancelar,
btn_replace_photo,Vuelva a colocar las fotos,
Remove,Eliminar,
success_img_delete,La imagen se ha eliminado correctamente,
trans_date_label,Fecha,
success_user_add,Usuario del sistema se ha añadido con éxito,
success_user_edit,Usuario del sistema se ha actualizado correctamente,
need_to_verify,"Su correo electrónico necesidad de verificar con el código de verificación. Por favor, eche un vistazo a su correo electrónico registrado.",
count_detail,Cargos de Detalle,
add_att_detail,Añadir detalle Personalizada,
detail_label,Detalle,
att_edit,Editar Personalizada,
success_att_add,Personalizada se ha añadido con éxito,
success_att_edit,Personalizada se ha actualizado correctamente,
delete_att_label,Personalizada de borrado?,
att_yes_all_message,"Cuando elimine este encabezado personalizado, también eliminará todos los detalles personalizados relacionados. Entonces, ¿todavía quieres eliminarlo?",
success_att_delete,Personalizada se ha eliminado correctamente,
att_delete_confirm_message,¿Quieres eliminar todos los elementos menores que juntos Comida?,
att_search,Personalizada de búsqueda,
att_detail_search,Detalle Personalizada de búsqueda,
att_price,Personalizada de precio,
list_attribute_detail,Lista de detalles de Personalizadas,
selected_product_name,Nombre del Comida seleccionado,
selected_attribute_header,Personalizada seleccionado Nombre de encabezado,
att_detail_name,Nombre del Personalizada Detalle,
attribute_detail_extra_price,"(If your customized charge additional price, please provide additional price only. It will add to the Food's price as automatically.It not override the item price. Just add as additional price.  Eg; price_total = Food_price + customized_additional_pirce)",
success_attdetail_edit,Detalle Personalizada se ha actualizado correctamente,
success_attdetail_add,Detalle Personalizada se ha añadido con éxito,
attdetail_edit,Actualización de información de Personalizadas Detalle,
success_attdetail_delete,Detalle Personalizada se ha eliminado correctamente,
att_no_only_message,Sólo Personalizada - Sólo Detalle Personalizada eliminará del sistema.,
delete_attdetail_label,Borrar detalle Personalizada?,
err_att_name,"Por favor, indique el nombre Personalizada",
err_att_len,La longitud del nombre de Personalizada debe ser mayor que 4,
err_att_exist,Nombre del Personalizada ya está existía en el sistema,
att_detail_info,Detalle de información de Personalizadas,
err_detail_name,Sírvanse proporcionar Personalizada de nombre Detalle,
err_detail_len,La longitud del Personalizada Detalle El nombre debe ser mayor que 4,
err_detail_exist,Detalle Personalizada Nombre existía ya está en el sistema,
collect_search,Buscar,
collect_photo,colección de fotografías,
collect_name,Nombre de la colección,
collect_status,colección Estado,
collect_info,recopilación de Información,
collect_ordering,colección de pedido,
collect_img,colección de fotografías,
collect_search,Colección de búsqueda,
collect_add,Añadir Collection,
collect_edit,Editar colección,
success_collect_edit,Colección ha sido actualizado correctamente,
success_collect_add,Colección ha sido agregado con éxito,
success_collect_delete,Colección se ha eliminado correctamente,
err_collect_name,"Por favor, indique el nombre Colección",
err_collect_len,La longitud del Nombre de la colección debe ser mayor que 4,
err_collect_exist,Nombre de la colección ya está existía en el sistema,
delete_collect_label,Eliminar colección?,
collect_delete_confirm_message,¿Seguro que quieres eliminar esta colección?,
collect_yes_all_message,Sí Todo - Recogida y artículos serán eliminar del sistema.,
collect_no_only_message,Sólo Colección - Colección Sólo se eliminará a partir del sistema.,
collect_yes_all_label,Si todo,
collect_no_only_label,Sólo Colección,
please_select_product,"Por favor, seleccione Comida",
api_info,Ajuste api,
api_order_by,Por fin,
api_count,Conde api,
success_api_edit,Api ajuste se ha actualizado correctamente,
comm_user,usuarios,
comm_desc,comentario Descripción,
comm_date,Fecha,
write_reply,Escribir un comentario de respuesta,
btn_reply,Respuesta,
reply_cmt,comentario Responder,
comm_search,Buscar,
comment_header,comentarios,
date,Fecha,
reply,Respuesta,
like_product_name,nombre del Comida,
like_user_name,Nombre de usuario,
fav_product_name,nombre del Comida,
fav_user_name,Nombre de usuario,
trans_total_amount,Cantidad total,
trans_discount_amount,Importe de descuento,
trans_balance_amount,Balance total,
trans_billing_address,Dirección de Envio,
trans_delivery_address,Dirección de entrega,
btn_update,Actualizar,
trans_search,Las operaciones de búsqueda,
btn_update,Actualizar,
Prd_qty,Cantidad,
Prd_dis,Descuento(%),
Prd_amt,Cantidad,
Prd_dis_price,Precio de descuento,
trans_status,Transacciones Estado:,
success_trans_edit,Las transacciones de estado se ha actualizado correctamente,
Prd_name,nombre del Comida,
Prd_price,Precio del Comida,
popular_cat_name,Categoría Nombre populares,
popular_cat_img,Categoría populares de fotos,
view,Ver,
popular_cat_search,Buscar populares Categoría,
popular_cat_view,Categoría más popular,
popular_cat_info,Información populares Categoría,
popular_cat_icon,Categoría icono popular,
popular_prd_name,Nombre Popular Comida,
popular_prd_code,Código de Comida populares,
popular_prd_price,Popular El precio del Comida,
popular_prd_search,Buscar Popular Comida,
popular_prd_view,El más popular Comida,
popular_prd_info,Información Popular Comida,
popular_subcat_name,Sub populares Nombre de categoría,
popular_prd_desc,Descripción del Comida Popular,
popular_prd_keyword,Populares Palabras claves del Comida,
popular_prd_highlight,Resalte Popular Comida,
purchased_cat_name,Comprar Nombre de categoría,
purchased_cat_img,Categoría comprar fotos,
purchased_cat_view,Más Categoría comprada,
purchased_cat_info,Información Categoría comprado,
purchased_cat_icon,Categoría comprado Icono,
purchased_cat_search,Search adquiridos Categoría,
purchased_prd_name,Nombre del Comida comprado,
purchased_prd_code,Código del Comida comprado,
purchased_prd_price,Precio del Comida comprado,
purchased_prd_view,La mayor parte Comida adquirido,
purchased_prd_search,Buscar Comida adquirido,
purchased_subcat_name,Comprado Subcategoría Nombre,
purchased_prd_desc,Descripción del Comida comprado,
purchased_prd_keyword,Palabras claves del Comida comprado,
purchased_prd_info,Información del Comida comprado,
purchased_prd_highlight,Punto culminante del Comida comprado,
total_revenue,Las transacciones mensuales,
performance_label,Estadísticas,
comment_label,Comentario,
prd_label,Comidas Count,
cat_label,Categorías Count,
subcat_label,Conde subcategoría,
dis_label,Descuento,
collect_label,Colección,
view_all_label,Ver todo,
transaction_table,Tabla transacción,
name_label,Nombre,
description_label,Descripción,
phone_label,Teléfono 1 (por defecto),
contact_email_label,Email de contacto,
shop_cover_photo_label,Tienda de la foto de portada Subir,
shop_image_recommended_size,(Tamaño Recomendado: 600 × 400),
find_location_label,Encuentra tipo y ubicación de Google API,
shop_lat_label,Latitud,
shop_lng_label,Longitud,
success_shop_add,Tienda ha sido agregado con éxito,
success_shop_edit,La tienda se ha actualizado correctamente,
delete_shop_label,Eliminar Shop?,
shop_info,Información de la tienda,
delete_shop_confirm_message,¿Está seguro de que quiere eliminar el taller porque va a eliminar de?,
phone_label2,teléfono 2,
phone_label3,teléfono 3,
address_label1,Dirección 1,
address_label2,Dirección 2,
address_label3,dirección 3,
shop_icon_photo_label,Tienda Icono Foto Subir,
shop_image_recommended_size_icon,(Tamaño Recomendado: 256 × 256),
about_mess_label,Mensajero,
about_chart_section,Información de chat,
stripe_label,[Opción 1]: El pago con la raya,
stripe_publishable_key,publicable clave,
stripe_secret_key,Llave secreta,
stripe_enable_label,Se habilita la raya de pago?,
stripe_enable_label,Se habilita la raya de pago?,
paypal_label,[Opción 2]: El pago con Paypal Habilitado,
paypal_env_label,paypal Medio Ambiente,
paypal_merchant_label,PayPal ID del comerciante,
paypal_pub_label,Paypal clave pública,
paypal_pri_label,Paypal clave privada,
paypal_enabled_label,Está habilitado Paypal?,
bank_transfer_label,[Opción 3]: El pago mediante transferencia bancaria,
bank_account_label,Cuenta bancaria,
bank_name_label,Nombre del banco,
bank_code_label,Codigo bancario,
branch_code_label,Código de sucursal,
swift_code_label,código SWIFT,
bank_enable_label,Admite la transferencia bancaria?,
cod_label,[Opción 4]: El pago con pago contra reembolso,
cod_email_label,Correo electrónico de confirmación contra reembolso,
cod_enable_label,Se habilita Pago contra entrega?,
currency_symbol_label,"El símbolo de moneda (por ejemplo, $)",
currency_form_label,"Moneda Short Form (por ejemplo, USD)",
sender_email_label,Cuenta remitente de correo electrónico (SMTP),
btn_add_new,Añadir nuevos usuarios,
user_name,Nombre de usuario,
user_edit,editar usuario,
user_info,informacion del usuario,
user_add,Agregar usuarios,
role_label,Rol del usuario,
conf_password,Confirmar contraseña,
select_shop_label,"Si el usuario es 'Comprar Admin', por favor seleccione 'Comprar' para asignar",
contact_name,Nombre de contacto,
contact_email,Email de contacto,
success_contacts_delete,Contacto se ha eliminado correctamente,
delete_contact_label,Eliminar contactos?,
contact_delete_confirm_message,¿Está seguro que desea borrar esta Contactos?,
contact_info_label,Información de Contacto Detalle,
contact_phone,Persona de Contacto Teléfono,
about_contact_label,Acerca de contacto Mensaje,
lbl_view,Ver,
back_button,atrás,
contact_receive_message,Ha recibido un nuevo mensaje de nosotros contacto.,
rating_product_name,nombre del Comida,
rating_user_name,Nombre de usuario,
rating_value,Valoración,
rating_title,Título,
pending_count,Orden pendiente,
delivery_count,Orden de entrega,
completed_count,Orden completada,
order_count,Orden total,
shipping_method_label,Seleccionar Predeterminado Método de envío,
shipping_method,Método de envío por defecto,
shop_tags,Comercio electrónico Etiquetas,
overall_tax_label,En general Tributaria (%),
shipping_tax_label,Impuesto de envío (%),
whapsapp_no_label,Número Whatsapp,
refund_policy_label,Politica de reembolso,
privacy_policy_label,Política de privacidad,
privacypolicy,Términos y condiciones,
app_info_lable,Acerca de Información,
about_title_label,sobre el Título,
description_label,Descripción acerca,
about_email_label,Acerca de correo electrónico,
about_phone_label,Teléfono sobre,
about_website_label,Acerca de Enlace al sitio Web,
about_seo_section,Información SEO,
about_seo_title_label,SEO Título,
about_seo_desc_label,Descripción SEO,
about_seo_keywords_label,SEO,
about_social_section,Información Social,
about_facebook_label,Facebook,
about_gplus_label,Google+,
about_instagram_label,Instagram,
about_youtube_label,Youtube,
about_pinterest_label,Pinterest,
about_twitter_label,Gorjeo,
about_color_section,Sobre el sitio tema de color,
about_theme,Temas disponibles,
success_about_edit,Sobre está actualizado correctamente,
about_ads_analyt,Google Analytic y Anuncios Ajuste,
about_ads_client,anuncios de cliente,
about_ads_slot,anuncios Slot,
about_analyt_track_id,Id Track Analytic,
about_ads_on,Habilitar Google Adsense,
about_analyt_on,Habilitar Google Analytic,
about_img,Sobre la foto de portada,
about_nav_icon,Icono de navegación,
about_fav_icon,Fav Icon,
about_backend_icon,para backend,
total_label,total:,
device_label,Dispositivo,
devices_label,dispositivos,
registered_label,se ha registrado para notificaciones push,
noti_info,Notificación de inserción,
noti_message_label,Mensaje,
noti_message_tooltips,Por favor proporcione la messsage para la notificación de inserción.,
noti_send_btn,Enviar notificaciones push,
sorry_no_device,"Lo sentimos, no hay ningún dispositivo registrado para la notificación Push.",
select_cat,selecciona una categoría,
success_noti_add,La notificación se ha añadido con éxito,
success_noti_delete,La notificación se ha eliminado correctamente,
delete_noti_label,Notificación de eliminación?,
noti_yes_message,Notificación sí- eliminará a partir del sistema.,
push_message,Mensaje push,
noti_des_label,Descripción,
noti_img,notificación de fotos,
coupon_code_message,El código de cupón debe ser al menos 4. Por ejemplo ACE1,
coupon_amount_message,"El monto del descuento del cupón debe ser como 10, 20, 30 .. No es un porcentaje.",
coupon_add,Agregar Cupón,
coupon_info,información de la cupón,
coupon_name,Nombre cupón,
coupon_code,Código promocional,
coupon_amount,La cantidad de cupones,
coupon_edit,Editar Cupón,
coupon_search,Buscar Cupón,
success_coupon_add,Cupón ha sido agregado con éxito,
success_coupon_edit,Cupón ha sido actualizado correctamente,
success_coupon_delete,Cupón ha sido eliminado correctamente,
delete_coupon_label,Cupón de borrado?,
coupon_delete_confirm_message,Está seguro que desea eliminar este cupón?,
err_coupon_name,"Por favor, indique el nombre de cupón",
err_coupon_len,La longitud del cupón nombre debe ser mayor que 4,
err_coupon_exist,Cupón Nombre existía ya está en el sistema,
shipping_name,Nombre de envío,
shipping_price,Precio,
shipping_days,Dias,
shipping_add,Agregar método de envío,
shipping_edit,Editar método de envío,
shipping_search,Método de búsqueda de envío,
shipping_info,Método de envío de información,
success_shipping_add,Método de envío se ha añadido con éxito,
success_shipping_edit,Método de envío se ha actualizado correctamente,
success_shipping_delete,Método de envío se ha eliminado correctamente,
err_shipping_name,"Por favor, proporcione el nombre del método de envío",
err_shipping_len,La longitud de envío Nombre del método debe ser mayor que 4,
err_shipping_exist,Método de envío Nombre existía ya está en el sistema,
delete_shipping_label,Eliminar Método de envío?,
shipping_delete_confirm_message,Está seguro que desea eliminar este método de envío?,
tag_name,Nombre de etiqueta,
tag_img,Etiquetar foto,
tag_add,Añadir etiqueta,
tag_search,búsqueda de etiquetas,
tag_info,información de la etiqueta,
tag_icon,etiqueta Icono,
err_tag_name,"Por favor, indique el nombre de etiqueta",
err_tag_len,La longitud del nombre de etiqueta debe ser superior a 4,
err_tag_exist,Nombre de la etiqueta ya está existía en el sistema,
success_tag_add,Tag se ha añadido con éxito,
success_tag_edit,Se ha actualizado con éxito,
success_tag_delete,Tag se ha eliminado correctamente,
delete_tag_label,Etiquetas Eliminar?,
tag_delete_confirm_message,Está seguro que desea eliminar esta etiqueta?,
btn_version,Versión,
ver_info,Información de versión,
ver_no_label,versión n,
ver_msg_label,versión Mensaje,
ver_title_label,versión Título,
ver_force_update,Actualización de la versión de la Fuerza?,
ver_need_data,Versión clara necesidad de datos?,
success_version_add,Versión se ha añadido con éxito,
success_version_edit,Versión se ha actualizado correctamente,
paypal_transaction_failed,"Lo sentimos, la transacción de PayPal se falla.",
stripe_transaction_failed,"Lo sentimos, raya transacción ha fallado.",
err_user_not_exist,"Lo sentimos, las credenciales de inicio de sesión del usuario son incorrectas",
no_record,No más de Record,
delete_register_user_label,Eliminar usuario registrado?,
register_user_delete_confirm_message,¿Seguro borrar este usuario registrado?,
success_registered_user_delete,Usuario registrado se ha eliminado correctamente,
success_user_delete,El usuario ha sido eliminado correctamente,
user_ban,usuario Ban,
user_ban_label,Prohibición,
user_unban,eliminar la prohibición,
